epoch,train_total,val_total,train_hard,train_soft,train_feat,val_hard,val_soft,val_feat
1,0.5802445244789124,0.6028734488146645,0.6011241292953491,0.07580389283597469,0.4557215356826782,0.651979957308088,0.11748330188649041,0.3708082948412214
2,0.511777458190918,0.605213829449245,0.5547430920600891,0.06911624819040299,0.342408059835434,0.6934786864689418,0.12112326387848173,0.2781392123017992
3,0.47520206332206727,0.5090077604566302,0.5249445044994354,0.07296168223023415,0.2861746895313263,0.5830038743359702,0.09845598893506187,0.2378941923379898
4,0.4563156199455261,0.5941639627729144,0.5091101849079132,0.06779062226414681,0.2653376841545105,0.694997251033783,0.13311661034822464,0.22576963901519775
5,0.44390892386436465,0.5007398852280208,0.4963696587085724,0.07291217774152756,0.24858837127685546,0.5917655570166451,0.07696468915258135,0.21138195054871695
6,0.42965125799179077,0.48982801181929453,0.4817868101596832,0.07066056549549103,0.2373410779237747,0.5683567523956299,0.10185835191181727,0.20473595815045492
7,0.4459747314453125,0.5058899990149907,0.4977312183380127,0.087180967181921,0.23802865147590638,0.592294842004776,0.10177231580018997,0.20250633358955383
8,0.4315459930896759,0.4752889062677111,0.4817632579803467,0.08570009425282478,0.22867227733135223,0.566560127905437,0.06720278092793056,0.19511996848242624
9,0.41033278584480287,0.4939644379275186,0.4617505872249603,0.07338804103434086,0.2169698792695999,0.5847148937838418,0.08937982044049672,0.19283353430884226
10,0.4124787604808807,0.47558016010693144,0.46220000386238097,0.07616818889975548,0.2202943605184555,0.5630812432084765,0.08186107448169164,0.18954991229942866
11,0.40471582651138305,0.4634652393204825,0.45094387292861937,0.08120361417531967,0.21564678192138673,0.5426834566252572,0.08997835538217,0.18864438150610244
12,0.4016824245452881,0.48263297762189594,0.44151764750480654,0.09897618800401688,0.20975737690925597,0.5560454045023236,0.12513159854071482,0.18620571281228745
13,0.4075209879875183,0.4580698822225843,0.4555609011650085,0.08055863805115222,0.2148692190647125,0.5459422085966382,0.06915417579667908,0.18388022695268905
14,0.3939474308490753,0.4989460493837084,0.4379496538639069,0.08380947932600975,0.20746610879898073,0.5901737127985273,0.10211190155574254,0.1839695977313178
15,0.3867340517044067,0.5218052864074707,0.426262925863266,0.09046859353780747,0.20403143405914306,0.6106008418968746,0.13034665691001074,0.18426901527813502
16,0.39206014275550843,0.4958105002130781,0.4322552096843719,0.09554242193698884,0.2027292239665985,0.5952731200626918,0.08205525949597359,0.18167580025536673
17,0.39210609793663026,0.4557631313800812,0.4360124659538269,0.08670073300600052,0.20295719742774965,0.5402697495051793,0.07766078731843404,0.1809202560356685
18,0.3926544642448425,0.5206239223480225,0.4356243312358856,0.08391750022768975,0.20847395420074463,0.6231608390808105,0.09773685304181916,0.18363427690097264
19,0.38078962326049803,0.4816237134592874,0.41787477493286135,0.09439459145069122,0.1998630118370056,0.5787944027355739,0.07510980537959508,0.17978233311857497
20,0.38526472210884094,0.4923287204333714,0.42281397461891174,0.09751503318548202,0.2001347714662552,0.5776027355875287,0.11410596913525037,0.17925003383840835
21,0.3729903280735016,0.494404388325555,0.4085444986820221,0.09272420212626457,0.19730640232563018,0.574810083423342,0.12838598127876008,0.17840510606765747
22,0.36032715678215027,0.45001445923532757,0.3849600899219513,0.10587790727615357,0.19697242736816406,0.5301898803029742,0.08575955778360367,0.1771789299590247
23,0.3660640335083008,0.4706978329590389,0.3953512650728226,0.0959604611992836,0.2017667120695114,0.5545528658798763,0.0981104810323034,0.17692561660494124
24,0.35870707511901856,0.45946909700121197,0.38899639904499056,0.09308454364538193,0.1949474483728409,0.5452083008629935,0.08323387961302485,0.17617708018847875
25,0.36623178839683534,0.4692997251238142,0.3967908924818039,0.09788593232631683,0.19704128801822662,0.5477770950113025,0.1097089307648795,0.1764769618000303
26,0.3634550678730011,0.4772924951144627,0.3895363843441009,0.1089161142706871,0.19368253767490387,0.5634342133998871,0.09976270315902573,0.17653245798179082
27,0.3577433216571808,0.46274601561682566,0.3854909706115723,0.09304792791604996,0.19995086669921874,0.5451652365071433,0.09459849180919784,0.17583602666854858
28,0.3553770267963409,0.4528008145945413,0.3841723811626434,0.09666250690817833,0.19152536153793334,0.5348916394369942,0.08585795760154724,0.17539759406021663
29,0.35366802096366884,0.4689938468592508,0.37943105280399325,0.09695025742053985,0.19660401165485383,0.5508018050874982,0.1023741045168468,0.1757345348596573
30,0.35391164660453794,0.4767894574574062,0.37895767390727997,0.09806341886520385,0.19740750789642333,0.5622246009962899,0.10146675844277654,0.17597406676837377
31,0.3496207797527313,0.45662771803992136,0.37486629486083983,0.09729617774486542,0.19341839849948883,0.5358494520187378,0.09631547438246864,0.17546153707163675
32,0.35125739812850953,0.46243048139980863,0.37410027384757993,0.10082466840744018,0.1971326822042465,0.5424544768674033,0.09999185906989234,0.17571597014154708
